playerID,yearID,stint,teamID,lgID,POS,G,GS,InnOuts,PO,A,E,DP,PB,WP,SB,CS,ZR
barneda01,2010,1,CHN,NL,2B,10,5,163,13,17,2,4,,,,,
barneda01,2010,1,CHN,NL,3B,6,4,102,1,11,0,1,,,,,
barneda01,2010,1,CHN,NL,SS,11,9,255,10,30,0,9,,,,,
bartlja01,2010,1,TBA,AL,SS,131,124,3312,152,309,11,58,,,,,
bartoda02,2010,1,OAK,AL,1B,157,155,4001,1404,78,10,121,,,,,
bassbr01,2010,1,PIT,NL,P,4,0,22,0,1,0,0,,,,,
bastaan01,2010,1,PHI,NL,P,25,0,56,0,2,0,0,,,,,
batismi01,2010,1,WAS,NL,P,58,1,248,5,9,0,1,,,,,
bautide01,2010,1,SFN,NL,P,31,0,101,1,4,0,0,,,,,
bautijo02,2010,1,TOR,AL,1B,4,1,54,26,0,0,0,,,,,
bautijo02,2010,1,TOR,AL,3B,48,45,1179,26,100,4,7,,,,,
bautijo02,2010,1,TOR,AL,OF,113,113,2957,180,12,3,5,,,,,
baxtemi01,2010,1,SDN,NL,1B,1,0,3,1,0,0,0,,,,,
bayja01,2010,1,NYN,NL,OF,93,92,2462,141,6,1,1,,,,,
beachbr01,2010,1,ATL,NL,P,3,3,45,4,0,0,0,,,,,
beckejo02,2010,1,BOS,AL,P,21,21,383,9,20,1,0,,,,,
beckhgo01,2010,1,CHA,AL,2B,126,125,3334,245,375,12,100,,,,,
beimejo01,2010,1,COL,NL,P,71,0,135,7,9,0,0,,,,,
belisma01,2010,1,COL,NL,P,76,0,276,4,10,2,2,,,,,
belisro01,2010,1,LAN,NL,P,59,0,166,4,9,0,0,,,,,
bellhe01,2010,1,SDN,NL,P,67,0,210,3,4,0,0,,,,,
belliro01,2010,1,LAN,NL,1B,10,7,160,46,6,1,6,,,,,
belliro01,2010,1,LAN,NL,2B,20,15,383,38,37,1,9,,,,,
belliro01,2010,1,LAN,NL,3B,16,14,346,10,23,3,3,,,,,
belljo01,2010,1,BAL,AL,3B,50,40,1108,27,77,4,8,,,,,
belltr01,2010,1,LAA,AL,P,25,7,183,7,5,1,1,,,,,
beltrad01,2010,1,BOS,AL,3B,154,151,4028,138,285,19,31,,,,,
beltrca01,2010,1,NYN,NL,OF,61,58,1553,146,4,0,1,,,,,
beltrom01,2010,1,TEX,AL,P,2,2,21,0,3,0,0,,,,,
benoijo01,2010,1,TBA,AL,P,63,0,181,0,4,0,0,,,,,
bensokr01,2010,1,ARI,NL,P,3,3,42,1,1,0,0,,,,,
bergebr02,2010,1,BAL,AL,P,30,28,510,11,22,0,3,,,,,
bergju01,2010,1,CHN,NL,P,41,0,120,4,4,0,0,,,,,
bergmja01,2010,1,WAS,NL,P,4,0,7,0,0,0,0,,,,,
berkeja01,2010,1,BAL,AL,P,41,0,187,3,4,0,0,,,,,
berkmla01,2010,1,HOU,NL,1B,85,84,2217,696,72,1,60,,,,,
berkmla01,2010,2,NYA,AL,1B,8,7,181,54,2,1,8,,,,,
bernaro01,2010,1,WAS,NL,OF,130,111,2964,207,9,4,4,,,,,
betanra01,2010,1,COL,NL,P,72,0,187,3,4,0,0,,,,,
betanyu01,2010,1,KCA,AL,SS,151,151,3995,256,418,18,84,,,,,
betemwi01,2010,1,KCA,AL,1B,5,4,105,33,0,1,1,,,,,
betemwi01,2010,1,KCA,AL,2B,2,2,48,1,4,1,0,,,,,
betemwi01,2010,1,KCA,AL,3B,53,51,1366,30,75,8,9,,,,,
betemwi01,2010,1,KCA,AL,OF,2,2,54,3,0,0,0,,,,,
billich01,2010,1,LAN,NL,P,31,31,575,12,20,1,1,,,,,
bisenjo01,2010,1,WAS,NL,P,5,0,14,0,0,1,0,,,,,
blackni01,2010,1,MIN,AL,P,28,26,483,11,25,2,4,,,,,
blakeca01,2010,1,LAN,NL,1B,1,0,4,1,0,0,0,,,,,
blakeca01,2010,1,LAN,NL,3B,139,134,3612,80,257,15,17,,,,,
blaloha01,2010,1,TBA,AL,1B,1,1,24,6,0,0,1,,,,,
blaloha01,2010,1,TBA,AL,3B,2,1,30,1,3,1,0,,,,,
blaloha01,2010,1,TBA,AL,OF,2,0,15,1,0,0,0,,,,,
blancan01,2010,1,TEX,AL,2B,40,31,850,48,92,4,19,,,,,
blancan01,2010,1,TEX,AL,3B,9,2,99,1,5,1,0,,,,,
blancan01,2010,1,TEX,AL,SS,16,15,384,16,37,2,8,,,,,
blancgr01,2010,1,ATL,NL,OF,33,16,544,42,1,1,1,,,,,
blancgr01,2010,2,KCA,AL,OF,44,44,1146,99,3,0,1,,,,,
blanche01,2010,1,NYN,NL,C,46,41,1083,284,27,1,4,3,,11,11,
blankky01,2010,1,SDN,NL,1B,4,1,37,15,1,0,0,,,,,
