yearID,teamID,lgID,playerID,G_all,GS,G_batting,G_defense,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,G_ph,G_pr
2010,PHI,NL,bastaan01,25,0,23,25,25,0,0,0,0,0,0,0,0,0,0,0,0
2010,WAS,NL,batismi01,58,1,54,58,58,0,0,0,0,0,0,0,0,0,0,0,0
2010,SFN,NL,bautide01,31,0,29,31,31,0,0,0,0,0,0,0,0,0,0,0,0
2010,TOR,AL,bautijo02,161,161,161,159,0,0,4,0,48,0,0,1,113,113,2,0,0
2010,SDN,NL,baxtemi01,9,0,9,1,0,0,1,0,0,0,0,0,0,0,0,8,0
2010,NYN,NL,bayja01,95,92,95,93,0,0,0,0,0,0,93,0,0,93,0,2,0
2010,ATL,NL,beachbr01,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0
2010,BOS,AL,beckejo02,21,21,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0
2010,CHA,AL,beckhgo01,131,126,131,126,0,0,0,126,0,0,0,0,0,0,4,0,4
2010,COL,NL,beimejo01,71,0,69,71,71,0,0,0,0,0,0,0,0,0,0,0,0
2010,COL,NL,belisma01,76,0,73,76,76,0,0,0,0,0,0,0,0,0,0,0,0
2010,LAN,NL,belisro01,59,0,56,59,59,0,0,0,0,0,0,0,0,0,0,0,0
2010,SDN,NL,bellhe01,67,0,64,67,67,0,0,0,0,0,0,0,0,0,0,0,0
2010,LAN,NL,belliro01,82,36,82,41,0,0,10,20,16,0,0,0,0,0,0,45,0
2010,BAL,AL,belljo01,53,42,53,50,0,0,0,0,50,0,0,0,0,0,2,1,1
2010,LAA,AL,belltr01,25,7,3,25,25,0,0,0,0,0,0,0,0,0,0,0,0
2010,BOS,AL,beltrad01,154,151,154,154,0,0,0,0,154,0,0,0,0,0,0,0,1
2010,NYN,NL,beltrca01,64,58,64,61,0,0,0,0,0,0,0,61,0,61,0,5,0
2010,TEX,AL,beltrom01,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
2010,TBA,AL,benoijo01,63,0,8,63,63,0,0,0,0,0,0,0,0,0,0,0,0
