playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
batismi01,2010,1,WAS,NL,58,8,0,1,0,0,0,0,0,0,0,5,0,0,1,0,0
bautide01,2010,1,SFN,NL,31,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
bautijo02,2010,1,TOR,AL,161,569,109,148,35,3,54,124,9,2,100,116,2,10,0,4,10
baxtemi01,2010,1,SDN,NL,9,8,0,1,0,0,0,1,0,0,0,2,0,0,0,1,1
bayja01,2010,1,NYN,NL,95,348,48,90,20,6,6,47,10,0,44,91,3,5,0,4,7
beachbr01,2010,1,ATL,NL,3,5,1,1,0,0,0,0,0,0,1,4,0,0,0,0,0
beckejo02,2010,1,BOS,AL,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beckhgo01,2010,1,CHA,AL,131,444,58,112,25,2,9,49,4,6,37,92,0,7,6,4,9
beimejo01,2010,1,COL,NL,71,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
belisma01,2010,1,COL,NL,76,4,0,1,1,0,0,2,0,0,0,2,0,1,2,0,0
belisro01,2010,1,LAN,NL,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bellhe01,2010,1,SDN,NL,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
belliro01,2010,1,LAN,NL,82,162,24,35,10,1,2,19,2,2,18,35,1,1,2,2,4
belljo01,2010,1,BAL,AL,53,159,15,34,5,0,3,12,0,1,2,53,0,0,0,0,4
belltr01,2010,1,LAA,AL,25,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
beltrad01,2010,1,BOS,AL,154,589,84,189,49,2,28,102,2,1,40,82,10,5,0,7,25
beltrca01,2010,1,NYN,NL,64,220,21,56,11,3,7,27,3,1,30,39,5,1,0,4,4
beltrom01,2010,1,TEX,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
benoijo01,2010,1,TBA,AL,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bensokr01,2010,1,ARI,NL,3,5,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
bergebr02,2010,1,BAL,AL,30,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
bergju01,2010,1,CHN,NL,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bergmja01,2010,1,WAS,NL,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
berkeja01,2010,1,BAL,AL,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
berkmla01,2010,1,HOU,NL,85,298,39,73,16,1,13,49,3,2,60,70,4,0,0,0,12
bernaro01,2010,1,WAS,NL,134,414,52,102,18,3,11,47,16,2,35,93,1,4,2,6,3
betanra01,2010,1,COL,NL,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
betanyu01,2010,1,KCA,AL,151,556,60,144,29,2,16,78,2,3,23,64,1,1,4,4,13
betemwi01,2010,1,KCA,AL,84,276,36,82,20,0,13,43,0,0,36,74,2,1,0,2,3
billich01,2010,1,LAN,NL,31,62,1,9,1,0,0,3,0,0,4,27,0,0,6,0,0
bisenjo01,2010,1,WAS,NL,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blackni01,2010,1,MIN,AL,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blakeca01,2010,1,LAN,NL,146,509,56,126,28,1,17,64,0,4,48,138,3,8,3,3,8
blaloha01,2010,1,TBA,AL,26,63,8,16,3,0,1,7,1,1,6,15,0,0,0,0,1
blancan01,2010,1,TEX,AL,68,166,17,46,10,1,0,13,0,2,11,24,1,3,3,2,0
blancgr01,2010,1,ATL,NL,36,58,9,18,1,1,0,3,1,2,8,15,1,0,0,0,2
blanche01,2010,1,NYN,NL,50,130,10,28,5,0,2,8,1,0,11,26,2,0,0,3,1
blankky01,2010,1,SDN,NL,33,102,14,16,6,1,3,15,1,0,15,46,0,3,0,0,1
blantjo01,2010,1,PHI,NL,29,59,8,7,0,0,0,1,0,0,1,24,0,2,5,0,3
blevije01,2010,1,OAK,AL,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bloomwi01,2010,1,KCA,AL,72,170,31,45,10,1,3,17,8,5,8,25,0,0,2,1,4
blumge01,2010,1,HOU,NL,93,202,22,54,10,1,2,22,0,0,15,33,2,1,0,0,3
bococbr01,2010,1,PHI,NL,6,5,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0
boescbr01,2010,1,DET,AL,133,464,49,119,26,3,14,67,7,1,40,99,5,5,0,3,5
boggsbr01,2010,1,TEX,AL,4,7,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0
boggsmi01,2010,1,SLN,NL,61,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
bogusbr01,2010,1,HOU,NL,19,28,5,5,3,0,0,3,1,1,3,12,0,0,0,0,2
bondeje01,2010,1,DET,AL,30,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
bonifem01,2010,1,FLO,NL,73,180,30,47,6,3,0,10,12,0,17,42,0,0,1,3,1
bonined01,2010,1,DET,AL,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bonsebo01,2010,1,BOS,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
borboju01,2010,1,TEX,AL,137,438,60,121,11,4,3,42,15,7,19,59,0,2,8,1,5
boscajc01,2010,1,ATL,NL,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
bourgja01,2010,1,HOU,NL,69,123,16,27,4,1,0,3,12,4,13,16,0,0,0,0,5
bourjpe01,2010,1,LAA,AL,51,181,19,37,6,4,6,15,10,3,6,40,0,2,3,1,2
bournmi01,2010,1,HOU,NL,141,535,84,142,25,6,2,38,52,12,59,109,5,3,6,2,6
bowdemi01,2010,1,BOS,AL,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bowerce01,2010,1,OAK,AL,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bowkejo01,2010,1,SFN,NL,41,82,9,17,3,0,3,8,0,0,6,23,1,0,0,2,1
boyerbl01,2010,1,ARI,NL,54,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
braddza01,2010,1,MIL,NL,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bradeda01,2010,1,OAK,AL,30,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
bradlmi01,2010,1,SEA,AL,73,244,28,50,9,1,8,29,8,2,28,75,2,3,1,2,2
brantmi02,2010,1,CLE,AL,72,297,38,73,9,3,3,22,10,2,22,38,0,0,4,2,6
branyru01,2010,1,CLE,AL,52,171,24,45,9,0,10,24,0,0,16,49,1,1,1,1,2
braunry02,2010,1,MIL,NL,157,619,101,188,45,1,25,103,14,3,56,105,1,6,0,3,17
braybi01,2010,1,CIN,NL,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
breslcr01,2010,1,OAK,AL,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brignre01,2010,1,TBA,AL,113,301,39,77,13,1,8,45,3,3,20,77,3,3,0,2,6
browndo01,2010,1,PHI,NL,35,62,8,13,3,0,2,13,2,1,5,24,1,0,0,3,1
browndu01,2010,1,BOS,AL,7,12,0,3,1,0,0,2,0,0,0,2,0,0,0,0,1
brownjo05,2010,1,CLE,AL,26,87,9,20,7,0,0,2,0,0,4,10,0,1,0,0,3
broxtjo01,2010,1,LAN,NL,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bruceja01,2010,1,CIN,NL,148,509,80,143,23,5,25,70,5,4,58,136,5,1,0,5,12
brunebr01,2010,1,WAS,NL,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
buchhcl01,2010,1,BOS,AL,28,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
buchhta01,2010,1,COL,NL,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
buckjo01,2010,1,TOR,AL,118,409,53,115,25,0,20,66,0,0,16,111,1,6,0,6,6
bucknbi02,2010,1,ARI,NL,3,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
bucktr01,2010,1,OAK,AL,14,42,6,7,2,0,1,2,1,0,4,14,0,1,1,0,0
buddery01,2010,1,LAA,AL,6,10,2,4,1,0,1,3,0,0,1,5,0,0,0,0,0
buehrma01,2010,1,CHA,AL,33,5,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0
buentja01,2010,1,FLO,NL,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bulgeja01,2010,1,LAA,AL,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bullibr01,2010,1,KCA,AL,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bumgama01,2010,1,SFN,NL,20,39,2,7,1,0,0,3,0,0,2,11,0,0,3,0,1
burkeja02,2010,1,WAS,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burneaj01,2010,1,NYA,AL,33,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0
burneal01,2010,1,MIN,AL,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burnese01,2010,1,WAS,NL,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burrebr01,2010,1,PIT,NL,20,25,0,3,0,1,0,3,0,0,0,14,0,0,2,0,0
burrepa01,2010,1,TBA,AL,24,84,9,17,5,0,2,13,0,0,10,28,0,1,0,1,2
burriem01,2010,1,SFN,NL,7,5,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0
burtoja01,2010,1,CIN,NL,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bushda01,2010,1,MIL,NL,40,53,6,7,1,0,0,2,0,0,4,23,0,0,5,0,0
buterdr01,2010,1,MIN,AL,49,142,12,28,6,1,2,13,0,0,4,25,0,4,3,2,5
butlebi03,2010,1,KCA,AL,158,595,77,189,45,0,15,78,0,0,69,78,8,5,0,9,32
byrdati01,2010,1,HOU,NL,64,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
byrdma01,2010,1,CHN,NL,152,580,84,170,39,2,12,66,5,1,31,98,1,17,0,2,12
byrneer01,2010,1,SEA,AL,15,32,1,3,2,0,0,0,1,0,6,9,0,0,0,0,1
cabreas01,2010,1,CLE,AL,97,381,39,105,16,1,3,29,6,4,25,60,0,5,11,3,10
cabreev01,2010,1,SDN,NL,76,212,22,44,6,3,1,22,10,6,19,54,3,2,8,0,8
cabrefe01,2010,1,BOS,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cabreme01,2010,1,ATL,NL,147,458,50,117,27,3,4,42,7,1,42,64,11,1,5,3,8
cabremi01,2010,1,DET,AL,150,548,111,180,45,1,38,126,3,3,89,95,32,3,0,8,17
cabreor01,2010,1,CIN,NL,123,494,64,130,33,0,4,42,11,4,28,53,0,3,5,7,11
